name,rating,price,restaurant_type,description,address
Chez Zena,"4,6",10–20 €,Restaurant,,"1 Rue Dancourt, 75018 Paris"
Aux Dés Calés 18 - Moreau,"4,6",20–30 €,Restaurant,,"11 Rue Hégésippe-Moreau, 75018 Paris"
Bel-Ami,"4,1",€€,Restaurant californien,,"128 Bd de Clichy, 75018 Paris"
Le Grand Phénicien,"4,4",20–30 €,Restaurant libanais,,"4 Rue Caulaincourt, 75018 Paris"
Creme Restaurant,"4,9",,Restaurant français,,"18 Rue Eugène Sue, 75018 Paris"
La Couvée Montmartre,"4,8",,Restaurant français,,"32 Rue Véron, 75018 Paris"
Cocotte et Tire-Bouchon,"4,9",30–40 €,Restaurant,,"184 Rue Marcadet, 75018 Paris"
Les Inséparables,"4,8",20–30 €,Restaurant,,"12 Rue Francœur, 75018 Paris"
Restaurant Les Carrières,"4,6",20–30 €,Restaurant français,Bistro à l’air décontracté qui sert des plats classiques accompagnés par des vins de petits producteurs.,"14 Rue Simart, 75018 Paris"
Au Relais,"4,5",20–30 €,Restaurant français,"Bistrot au cadre artistique doté d'une terrasse et proposant des plats traditionnels, des burgers et des steaks.","48 Rue Lamarck, 75018 Paris"
19 darù,"4,0",30–40 €,Restaurant italien,"Restaurant intime, décorée de toiles vives par la propriétaire, qui propose des plats italiens traditionnels.","19 Rue Daru, 75008 Paris"
Trois B,"4,7",,Restaurant,"Bistrot à l'ambiance détendue servant des plats du jour, vins bio et bières locales dans une salle chaleureuse et lumineuse.","48 Av. Jean Jaurès, 75019 Paris"
Mensae,"4,5",€€,Restaurant,"Restaurant chic avec des spécialités françaises raffinées, des assiettes à partager et du vin dans un cadre moderne et minimaliste.","23 Rue Melingue, 75019 Paris"
SYMPHONY | Restaurant Italien | Restaurant Villette | Restaurant Paris 19,"4,6",20–30 €,Restaurant italien,,"25 Sente des Dorées, 75019 Paris"
Au Comptoir Du Temps café,"4,6",20–30 €,Restaurant,,"35 Av. Corentin Cariou, 75019 Paris"
Le passage à niveau,"4,4",20–30 €,Restaurant,Plats et petites portions de saison servis dans un restaurant lumineux doté d'une terrasse et de potagers.,"2A Rue de l'Ourcq, 75019 Paris"
Simonetta,"4,5",20–30 €,Restaurant italien,"Plats italiens classiques comme les pâtes et les pizzas, servis dans une salle à manger élégante décorée de plantes suspendues.","32 Quai de la Marne, 75019 Paris"
Chez Arnaud,"4,4",20–30 €,Restaurant,,"16 Rue Eugène Jumin, 75019 Paris"
Chez JJ,"4,7",20–30 €,Restaurant,,"174 Av. Jean Jaurès, 75019 Paris"
Les Bancs Publics,"4,5",20–30 €,Restaurant,"Grands classiques de brasserie (steak-frites, par exemple) servis dans un restaurant lumineux doté d'une terrasse en bord de canal.","2 Rue de Nantes, 75019 Paris"
Jeannette,"4,7",20–30 €,Restaurant,,"143 Av. Jean Jaurès, 75019 Paris"
Paname Brewing Company,"4,3",20–30 €,Microbrasserie,Cuisine et bières internationales servies dans une microbrasserie simple dotée d'une terrasse avec vue sur le canal.,"41 bis Quai de la Loire, 75019 Paris"
Aux Arts et Sciences Réunis,"4,3",20–30 €,Restaurant français,Restaurant à la décoration foisonnante composée de portraits et d'objets scientifiques pour une cuisine fine.,"161 Av. Jean Jaurès, 75019 Paris"
La Violette,"4,2",€€€,Restaurant,Menus dégustation créatifs avec accords mets et vins et plats à la carte dans un cadre sophistiqué.,"11 Av. Corentin Cariou, 75019 Paris"
Restaurant Quedubon,"4,6",€€,Restaurant français,Parquet brut et murs gris et rouges ornent ce bar servant une cuisine française classique et des vins de pays.,"22 Rue du Plateau, 75019 Paris"
L'Atlantide,"4,5",20–30 €,Restaurant de spécialités d'Afrique du Nord,Une cuisine berbère proposée dans une salle au décor authentique ornée de tapis et de lampes nord-africaines.,"07 Av. de Laumière, 75019 Paris"
Buono Sano Bello,"4,5",20–30 €,Restaurant italien,Ce petit restaurant aux pierres apparentes propose des spécialités italiennes comme des pâtes fraîches maison.,"14 Rue de la Villette, 75019 Paris"
Le Napoléon III,"4,0",€€,Brasserie,"Restaurant/bar raffiné au charme d'époque, doté d'une terrasse côté rue et proposant des plats simples et des cocktails.","1 Pl. Armand Carrel, 75019 Paris"
Le Bastringue,"4,4",20–30 €,Bistro,Cuisine et boissons de brasserie parisienne classique dans un restaurant établi de longue date avec terrasse au bord du canal.,"67 Quai de la Seine, 75019 Paris"
Sunny,"4,3",20–30 €,Restaurant,"Petits-déjeuners sucrés et salés, plats légers pour le déjeuner, salades et pâtisseries dans un cadre moderne.","84 Av. Secrétan, 75019 Paris"
Au Pied de Cochon,"4,3",€€€,Restaurant français,"Brasserie simple proposant petit-déjeuner, plats locaux et plateaux de charcuterie, accompagnés de bières pression et de cocktails.","6 Rue Coquillière, 75001 Paris"
Palais Royal Restaurant,"4,6",+ de 100 €,Restaurant gastronomique,Vins et cuisine française gastronomique dans une salle à manger raffinée ou en terrasse dans les jardins du palais.,"110 Gal de Valois, 75001 Paris"
La Robe et Le Palais,"4,5",€€,Restaurant français,Plats français créatifs élaborés à partir d'ingrédients bio et vins naturels proposés dans un restaurant rustique chaleureux.,"13 Rue des Lavandières Sainte-Opportune, 75001 Paris"
restaurant paris,,,Restaurant libanais,,"48 Rue Croix des Petits Champs, 75001 Paris"
yam'Tcha,"4,5",+ de 100 €,Restaurant gastronomique,"Pierres apparentes et boiseries pour une cuisine asiatique métissée, des thés assortis et un menu de saison.","121 Rue Saint-Honoré, 75001 Paris"
Au Vieux Comptoir,"4,6",€€€,Restaurant français,"Menus renouvelés chaque saison composés de classiques français aux accents internationaux, proposés dans une brasserie conviviale.","17 Rue des Lavandières Sainte-Opportune, 75001 Paris"
L'Ardoise,"4,4",€€,Restaurant français,Plats raffinés à base de produits de saison et menus fixes dans une brasserie cosy.,"28 Rue du Mont Thabor, 75001 Paris"
Restaurant de La Cordonnerie,"4,7",€€,Restaurant,"Restaurant de cuisine française classique de style ancien, doté de poutres apparentes et décoré de casseroles en cuivre.","20 Rue Saint-Roch, 75001 Paris"
La Dame de Pic,"4,6",+ de 100 €,Restaurant gastronomique,"Menus dégustation de mets gastronomiques à la présentation raffinée, avec associations de vins, dans un restaurant élégant.","20 Rue du Louvre, 75001 Paris"
Le Comptoir des Petits Champs,"4,5",€€,Bistro,"Brasserie élégante à l'atmosphère rétro, servant des plats copieux de cuisine française contemporaine.","17 Rue des Petits Champs, 75001 Paris"
Le Louis,"4,6",20–30 €,Restaurant français,,"31 Rue Coquillière, 75001 Paris"
Maslow - Restaurant Paris 1,"4,9",20–30 €,Restaurant végétarien,,"14 Quai de la Mégisserie, 75001 Paris"
Café de la Régence,"4,3",20–30 €,Restaurant français,"Restaurant rétro proposant des poke bowls et des plats classiques locaux pour le petit-déjeuner, le déjeuner et le dîner.","167 Rue Saint-Honoré, 75001 Paris"
La Régalade Saint-Honoré,"4,5",€€€,Restaurant français,"Plats style brasserie artistiquement présentés, servis dans un cadre rustique aux poutres en bois et aux murs en pierres apparentes.","106 Rue Saint-Honoré, 75001 Paris"
Loulou Restaurant Paris,"4,1",€€€,Restaurant italien,"Élégant restaurant installé dans le musée des Arts décoratifs, servant des plats italiens et français.","107 Rue de Rivoli, 75001 Paris"
Restaurant Florentin,"4,4",20–30 €,Brasserie,"Salades, omelettes et steaks-frites traditionnels dans une brasserie sobre dotée de lambris aux murs.","10 Rue Saint-Florentin, 75001 Paris"
Kong,"3,8",+ de 100 €,Restaurant de cuisine fusion asiatique,Cuisine fusion asiatique audacieuse sous un dôme de verre dans un espace chic conçu par Philippe Starck.,"1 Rue du Pont Neuf, 75001 Paris"
Le Tout-Paris,"4,6",+ de 100 €,Restaurant français,"Cuisine gastronomique proposée dans le restaurant chic situé sur le toit de l'hôtel Cheval Blanc Paris, avec vue panoramique sur la Seine.","8 Quai du Louvre, 75001 Paris"
Restaurant Clémentine - Bistrot Terrasse Paris 2,"4,7",€€,Restaurant français,Plats de brasserie français traditionnels et vins régionaux dans un restaurant cosy avec terrasse côté rue.,"5 Rue Saint-Marc, 75002 Paris"
Brasserie Rosie Lou,"4,7",20–30 €,Brasserie,,"31 Bd de Bonne Nouvelle, 75002 Paris"
Le Nom M'échappe,"4,5",€€,Restaurant français,"Steaks grillés, fruits de mer et plats de brasserie raffinés dans un restaurant clair traditionnel doté d'une terrasse côté rue.","28 Rue Notre Dame des Victoires, 75002 Paris"
La Petite Régalade,"4,4",30–50 €,Restaurant français,Restaurant élégant orné de plantes suspendues et spécialisé dans les plats à base de viande et les pascades de l'Aveyron.,"14 Rue Daunou, 75002 Paris"
Fleur de pavé,"4,6",+ de 100 €,Restaurant gastronomique,,"5 Rue Paul Lelong, 75002 Paris"
Le Mesturet,"4,4",30–40 €,Restaurant français,"Restaurant à l'ambiance décontractée proposant des plats locaux tels que du poisson, de la viande et des desserts, ainsi que du vin.","77 Rue de Richelieu, 75002 Paris"
Dalia,"4,6",30–40 €,Restaurant méditerranéen,Restaurant tendance proposant une cuisine inspirée des pays de Méditerranée orientale ainsi que des cocktails.,"93 Rue Montmartre, 75002 Paris"
Pollop,"4,6",€€,Restaurant français,"Cuisine de brasserie contemporaine et créative, mêlant ingrédients français et saveurs d'Extrême-Orient.","15 Rue d'Aboukir, 75002 Paris"
Les Noces de Jeannette,"4,2",€€,Restaurant français,Établissement séculaire chaleureux avec plusieurs salons et cuisine française traditionnelle.,"14 Rue Favart, 75002 Paris"
Comme un Bouillon,"4,5",10–20 €,Restaurant français,,"17 Rue de Choiseul, 75002 Paris"
Restaurant L'Apibo,"4,7",40–50 €,Restaurant français,Restaurant rustique-chic et intimiste proposant des plats de saison raffinés et du vin.,"31 Rue Tiquetonne, 75002 Paris"
Le Galibot,"4,8",20–30 €,Restaurant,"Burgers, bières et plats copieux du Nord de la France dans une taverne cosy décorée d'objets vintage.","17 Rue Paul Lelong, 75002 Paris"
Le Boui-Boui,"4,4",20–30 €,Restaurant français,Restaurant aveyronnais de style bistrot rétro où des spécialités régionales sont servies dans un cadre boisé.,"11 Rue Marie Stuart, 75002 Paris"
Jugaad,"4,4",,Restaurant indien,"Restaurant chic proposant un menu composé de plats indiens gastronomiques, avec un bar à cocktails et des tables côté rue.","16 Rue Favart, 75002 Paris"
ACCENTS table bourse,"4,7",+ de 100 €,Restaurant gastronomique,"Ce restaurant sobre et élégant propose des menus dégustation composés de plats internationaux créatifs, avec accords mets et vins.","24 Rue Feydeau, 75002 Paris"
Yansai 3 - Restaurant asiatique Paris - Guabao Taiwanais,"4,8",10–20 €,Restaurant asiatique,,"88 Rue des Gravilliers, 75003 Paris"
Au Fil des Saisons,"4,4",30–40 €,Restaurant français,"Restaurant chaleureux doté de murs en pierres apparentes et d'un patio, et proposant des plats traditionnels à base de produits de saison.","6 Rue des Fontaines du Temple, 75003 Paris"
Robert et Louise,"4,5",€€,Restaurant,"Steak, confit de canard et carte étoffée de vins dans un restaurant de style détendu aux poutres apparentes et aux murs en pierre.","64 Rue Vieille du Temple, 75003 Paris"
Les Enfants Rouges,"4,5",€€,Cuisine française moderne,Brasserie moderne proposant des plats français classiques aux influences japonaises soigneusement présentés.,"9 Rue de Beauce, 75003 Paris"
Restaurant L'Oyat,"4,7",,Restaurant français,,"11 Rue Notre Dame de Nazareth, 75003 Paris"
Lucky Paris 3 - 人间烟火,"4,9",10–20 €,Restaurant asiatique,,"47 Rue au Maire, 75003 Paris"
ORTO,"4,6",10–20 €,Restaurant italien,"Restaurant cosy à l'ambiance détendue décoré dans un style simple, proposant des sandwichs élaborés à partir de pain ""ciabatta"".","75 Rue des Gravilliers, 75003 Paris"
Le Marais Restaurant Paris,"4,5",20–30 €,Restaurant méditerranéen,"Steaks haut de gamme, burgers, salades, desserts, bières et vins proposés dans un restaurant à l'ambiance détendue doté d'une cour.","47 R. de Turbigo, 75003 Paris"
Terra,"4,6",,Restaurant,Restaurant branché ouvert en soirée proposant assiettes haut de gamme à partager et vins naturels.,"21 Rue des Gravilliers, 75003 Paris"
Dessance,"4,6",+ de 100 €,Restaurant gastronomique,"Brasserie chic réputée pour sa cuisine gastronomique innovante, proposant des menus dégustation et des accords mets-vins.","74 Rue des Archives, 75003 Paris"
Le MaZenay,"4,6",€€€,Restaurant français,"Plats français à base de produits locaux et de saison, servis dans un cadre sophistiqué.","46 Rue de Montmorency, 75003 Paris"
Elmer,"4,6",+ de 100 €,Restaurant français,"Menus régionaux raffinés composés d'ingrédients et de vins locaux, servis dans un restaurant moderne doté d'une cuisine ouverte.","30 Rue Notre Dame de Nazareth, 75003 Paris"
Balou Paris 3,"4,7",10–20 €,Bar à tapas,,"9-11 Rue aux Ours, 75003 Paris"
Camille,"4,3",€€,Restaurant français,"Bar-brasserie intimiste à l'ambiance détendue célèbre pour son canard, ses steaks et ses cocktails. Terrasse côté rue.","24 Rue des Francs Bourgeois, 75003 Paris"
Au Bourguignon du Marais,"4,6",€€,Restaurant français,"Escargots, bœuf bourguignon et autres plats traditionnels de Bourgogne servis dans un restaurant élégant.","52 Rue François Miron, 75004 Paris"
Le Colimaçon Marais,"4,6",€€,Restaurant français,Version créative des plats de brasserie française dans un cadre chaleureux avec murs en pierre brute et poutres en bois.,"44 Rue Vieille du Temple, 75004 Paris"
Salento Marais,"4,6",20–30 €,Restaurant italien,"Antipasti, pâtes et plats italiens à la présentation soignée servis dans un restaurant élégant de style rétro chic avec terrasse.","6 Rue de Jarente, 75004 Paris"
Le Trésor,"4,1",€€,Restaurant français,Restaurant pittoresque de cuisine française raffinée avec coin salon extérieur et bar à cocktails animés.,"9 Rue du Trésor, 75004 Paris"
Au Vieux Paris,"4,4",20–30 €,Restaurant français,,"6 Rue Mornay, 75004 Paris"
Chez Mademoiselle,"4,6",€€,Restaurant français,"Restaurant sobre avec terrasse servant des spécialités locales, dont des plats de poissons, fruits de mer et viande, ainsi que du vin.","16 Rue Charlemagne, 75004 Paris"
Bistrot de l’Oulette,"4,5",€€,Restaurant français,"Petit bistrot classique proposant ragoûts, poissons, fruits de mer et plats à base de canard du Sud-Ouest de la France.","38 Rue des Tournelles, 75004 Paris"
La Réserve Du Terroir - Restaurant Paris 4,"4,6",20–30 €,Restaurant,"Brasserie chaleureuse de style décontracté proposant cassolettes d'escargots, entrecôtes et autres plats traditionnels.","13 R. Quincampoix, 75004 Paris"
GrandCœur,"4,4",€€€,Restaurant français,,"41 Rue du Temple, 75004 Paris"
Chez Julien,"4,0",€€€,Restaurant français,"Brasserie chic à la décoration élégante dotée d'une terrasse, proposant petit-déjeuner, plats principaux, desserts et vins raffinés.","1 Rue du Pont Louis-Philippe, 75004 Paris"
L'hirondelle - Paris 4,"4,8",20–30 €,Restaurant français,,"42 Bd Henri IV, 75004 Paris"
Chez Margot,"4,4",20–30 €,Restaurant français,"Brasserie française traditionnelle avec terrasse couverte retransmettant des événements sportifs, spécialisé dans le bœuf salers.","25 Bd Henri IV, 75004 Paris"
Loulou,"4,1",20–30 €,Bistro,Tajines nord-africains servis dans une brasserie richement décorée avec terrasse et concerts de jazz.,"63 Rue Rambuteau, 75004 Paris"
Les Mauvais Garçons,"4,3",€€,Restaurant,Spécialités lyonnaises dans un cadre de bistrot ancien à l'éclairage tamisé et aux banquettes en velours.,"4 Rue des Mauvais Garçons, 75004 Paris"
Le Chanard,"4,7",€€,Restaurant français,Restaurant intimiste doté d'une petite terrasse et d'un intérieur cosy servant des entrées françaises classiques et des steaks.,"8 Rue Saint-Paul, 75004 Paris"
Resto Beyrouth,"4,6",10–20 €,Restaurant libanais,,"4 Rue Saint-Merri, 75004 Paris"
Les Fous de l'Ile,"4,3",€€,Restaurant français,Cuisine traditionnelle dans une brasserie moderne à l'ambiance détendue décorée d'objets et de tableaux en lien avec la poule.,"33 Rue des Deux Ponts, 75004 Paris"
Le Trumilou,"4,4",20–40 €,Restaurant français,"Steaks, cuisine de saison et plats populaires servis dans un restaurant classique aux touches rétro.","84 Quai de l'Hôtel de ville, 75004 Paris"
BISTROT MARGUERITE,"4,1",10–30 €,Brasserie,"Steaks, burgers, soupe à l'oignon et cocktails servis dans un bistrot d'angle à l'ambiance détendue, avec terrasse côté rue.","1 Pl. de l'Hôtel de Ville, 75004 Paris"
L'Alsacien Châtelet - Restaurant / Bar à Flammekueche,"4,6",10–20 €,Restaurant de spécialités alsaciennes,"Salle de jeux, cadre cosy et pierres apparentes pour ce bar à flammekueche servant aussi des vins alsaciens.","6 Rue Saint-Bon, 75004 Paris"
Bistrot La Grange - Restaurant Paris 5,"4,6",10–20 €,Restaurant,Ce bistrot propose une cuisine traditionnelle aux accents méditerranéens dans un cadre typique avec terrasse.,"17 Rue Lagrange, 75005 Paris"
La Table de Colette,"4,7",+ de 100 €,Restaurant gastronomique,"Restaurant écoresponsable et gastronomique doté d'une terrasse, proposant des menus de 3 à 7 plats avec des accords mets et vins.","17 Rue Laplace, 75005 Paris"
La Truffière,"4,5",+ de 100 €,Restaurant français,"Restaurant pittoresque avec poutres en bois et voûtes en pierre, servant une cuisine française raffinée à la présentation soignée.","4 Rue Blainville, 75005 Paris"
Le Petit Prince de Paris,"4,1",€€,Restaurant gastronomique,"Restaurant cosy à la décoration originale, proposant des plats français raffinés à base de produits haut de gamme.","12 Rue de Lanneau, 75005 Paris"
Comme Chai Toi,"4,5",€€€,Restaurant français,Plats classiques servis dans un café branché décoré sur le thème de la musique qui propose également un large choix de vins.,"13 Quai de Montebello, 75005 Paris"
Bonvivant,"4,4",€€,Restaurant français,"Bistrot animé doté d'une terrasse, proposant une vaste sélection de vins, des steaks, des grillades et des plats de brasserie.","7 Rue des Écoles, 75005 Paris"
La Méthode - Restaurant Paris 5,"4,3",20–30 €,Restaurant français,,"2 Rue Descartes, 75005 Paris"
Au Bistrot de la Montagne,"4,4",€€,Restaurant français,"Bistrot pittoresque doté de poutres en bois apparentes et de plafonds voûtés en pierre, réservé aux grands groupes.","38 Rue de la Montagne Ste Geneviève, 75005 Paris"
Le Reminet,"4,3",€€€,Restaurant français,"Cuisine française moderne aux influences méditerranéennes, servie parmi des lustres et des miroirs d'antan.","3 Rue des Grands Degrés, 75005 Paris"
Baieta - Restaurant Paris,"4,4",+ de 100 €,Restaurant gastronomique,,"5 Rue de Pontoise, 75005 Paris"
HEBE restaurant - Paris,"4,6",,Restaurant,"Plats de poisson, de viande et de légumes raffinés et de saison servis dans un restaurant élégant proposant de grands vins.","15 Rue Frédéric Sauton, 75005 Paris"
Le Petit Pontoise,"4,6",€€,Restaurant français,"Viande rôtie maison, poissons grillés et vins régionaux dans une brasserie rétro avec une terrasse côté rue.","9 Rue de Pontoise, 75005 Paris"
Restaurant Le Coupe-Chou,"4,6",,Restaurant français,,"11 Rue de Lanneau, 75005 Paris"
Le vent d'Armor,"4,8",+ de 100 €,Restaurant de poisson,"Restaurant sophistiqué proposant une cuisine gastronomique axée sur les poissons, les fruits de mer et les vins fins.","25 Quai de la Tournelle, 75005 Paris"
Sola,"4,7",+ de 100 €,Restaurant gastronomique,"Restaurant de mets japonais originaux et raffinés, agrémentés de touches françaises, dans un caveau en pierre ou une salle élégante.","12 Rue de l'Hôtel Colbert, 75005 Paris"
Alliance,"4,8",+ de 100 €,Restaurant gastronomique,Restaurant novateur proposant des menus dégustation aux saveurs créatives à base de produits locaux.,"5 Rue de Poissy, 75005 Paris"
LAVA - Cuisine & Vin,"4,7",€€,Cuisine française moderne,"Restaurant français chaleureux doté d'une terrasse côté rue, et proposant des plats raffinés et du vin.","9 Rue de la Montagne Ste Geneviève, 75005 Paris"
Kitchen Ter(re),"4,8",€€,Restaurant,"Cuisine invitant au voyage, entre saveurs d'Asie et respect des traditions françaises, dans un cadre sobre.","26 Bd Saint-Germain, 75005 Paris"
La Pie Noir,"4,7",30–50 €,Restaurant français,,"5 Rue de la Montagne Ste Geneviève, 75005 Paris"
Le Paris Paris,"4,4",€€,Restaurant,,"8 Rue de Montfaucon, 75006 Paris"
Brasserie Des Prés,"4,6",20–40 €,Restaurant français,,"6 Cr du Commerce Saint-André, 75006 Paris"
Didon,"4,7",,Restaurant gastronomique,"Restaurant à l'ambiance décontractée et au cadre chic et simple, spécialisé dans les grillades au charbon de bois.","8 Rue du Dragon, 75006 Paris"
L'Atelier Roulière,"4,6",€€,Restaurant,"Escargots, tartares de boeuf, steak et longue liste de vin proposés dans une brasserie chic décorée dans des tons riches de bleu.","24 Rue des Canettes, 75006 Paris"
Georgette,"4,7",€€,Restaurant français,Restaurant élégant servant des plats français classiques de saison dans une salle chic ou en terrasse.,"44 Rue d'Assas, 75006 Paris"
SHIRO | Restaurant Franco Japonais Fusion,"4,6",+ de 100 €,Restaurant français,,"168 Bd Saint-Germain, 75006 Paris"
Alcazar,"4,2",€€€,Restaurant,"Restaurant chic agrémenté de plantes servant des plats et des desserts locaux originaux, ainsi que des cocktails uniques.","62 Rue Mazarine, 75006 Paris"
CAMILA,"4,4",€€,Restaurant,"Brasserie de style décontracté dotée de poutres anciennes et de grandes fenêtres, servant plats créatifs français et internationaux.","5 Rue Mabillon, 75006 Paris"
Marcello,"4,5",€€€,Restaurant italien,"Pâtes, fruits de mer et autres plats italiens servis dans un restaurant convivial à l'ambiance rustique chic.","8 Rue Mabillon, 75006 Paris"
La Diva-des-Prés,"4,3",,Restaurant,"Restaurant lounge romantique doté de meubles aux tons roses, d'une décoration florale luxuriante et d'une terrasse.","79 Rue de Seine, 75006 Paris"
Restaurant Aux Perchés,"4,8",,Restaurant français,,"25 Rue Servandoni, 75006 Paris"
La Boussole,"4,3",30–40 €,Restaurant français,"Classiques locaux, plats internationaux et desserts populaires proposés dans un restaurant cosy doté de murs en pierres apparentes.","12 Rue Guisarde, 75006 Paris"
Au Père Louis (Bar à Vins Paris - Saint Germain des Prés Paris 6),"4,3",€€,Restaurant français,"Charmant restaurant/bar à vin à l'angle d'une rue, proposant des spécialités françaises comme la soupe à l'oignon et les escargots.","38 Rue Monsieur le Prince, 75006 Paris"
"Huguette, Bistro de la mer","4,4",,Restaurant,"Brasserie élégante avec façade ouverte sur la rue et terrasse, servant plats de poissons/fruits de mer, poke bowls et apéritifs.","81 Rue de Seine, 75006 Paris"
Semilla,"4,5",€€€,Cuisine française moderne,Cuisine française contemporaine et sophistiquée aux accents méditerranéens dans une salle dotée de briques et de conduits apparents.,"54 Rue de Seine, 75006 Paris"
Restaurant Du Sénat,"4,5",50–60 €,Restaurant,,"ter, 15 bis Rue de Vaugirard, 75006 Paris"
Source Restaurant,"4,8",+ de 100 €,Restaurant,,"17 Rue Grégoire de Tours, 75006 Paris"
Bouillon Racine,"4,2",€€€,Restaurant français,"Menu de saison composé de classiques raffinés, proposé dans un restaurant rénové de style Art nouveau doté d'une grande cave à vin.","3 Rue Racine, 75006 Paris"
Aux Prés Cyril Lignac,"4,2",€€,Restaurant français,Plats de brasserie raffinés à base de viande dans un restaurant cosy et traditionnel géré par un chef star de la télévision.,"27 Rue du Dragon, 75006 Paris"
Da Alfredo Restaurant Paris 8,"4,7",,Restaurant italien,,"182 Bd Haussmann, 75008 Paris"
Restaurant Super Huit Paris 8,"4,8",50–60 €,Restaurant,,"95 Rue de Miromesnil, 75008 Paris"
Le Marignan,"4,2",,Restaurant,Cette brasserie conviviale aux grandes baies vitrées propose des plats traditionnels en service non-stop.,"18 Rue de Marignan, 75008 Paris"
ONOR par Thierry Marx,"4,8",+ de 100 €,Restaurant gastronomique,,"258 Rue du Faubourg Saint-Honoré, 75008 Paris"
Le Carré Élysée,"4,6",€€,Restaurant français,,"49 Av. Franklin Delano Roosevelt, 75008 Paris"
Le Sens Unique,"4,5",€€,Restaurant français,Restaurant chic avec un bar à vin proposant des boissons et des plats haut de gamme dans un espace luxueux aux murs en briques.,"47 Rue de Ponthieu, 75008 Paris"
NOTO Paris,"3,8",+ de 100 €,Restaurant italien,Table sicilienne élégante et aérée offrant des spécialités des terroirs italiens au dessus de la salle Pleyel.,"252 bis Rue du Faubourg Saint-Honoré, 75008 Paris"
L'Arôme,"4,8",+ de 100 €,Restaurant gastronomique,Cuisine gastronomique créative d'inspiration française avec menu dégustation et accords mets-vins dans une salle chic aux tons beiges.,"3 Rue Saint-Philippe du Roule, 75008 Paris"
L'Annexe Restaurant,"4,8",20–30 €,Restaurant,,"41 Rue de Courcelles, 75008 Paris"
La Table de Lucie,"4,4",20–30 €,Restaurant français,Restaurant de style décontracté avec terrasse proposant des menus variables mettant en valeur les ingrédients frais du marché.,"29 Rue d'Édimbourg, 75008 Paris"
Tosca,"4,8",+ de 100 €,Restaurant italien,,"20 Rue du Cirque, 75008 Paris"
Palais de Courcelles,"4,2",10–20 €,Restaurant chinois,,"79 Bd de Courcelles, 75008 Paris"
Bistro Les 4 Saisons,"4,1",20–30 €,Bistro,Plats du marché à l'ardoise et cuisine traditionnelle dans un bistrot classique aux banquettes en velours.,"268 Rue du Faubourg Saint-Honoré, 75008 Paris"
Restaurant Le Gabriel,"4,6",+ de 100 €,Restaurant gastronomique,"Menus dégustation, et cuisine d'inspiration française à la fois raffinée et innovante, servis dans une salle à manger luxueuse.","42 Av. Gabriel, 75008 Paris"
L'Elysée Saint Honoré,"4,2",€€€,Brasserie,Restaurant élégant décoré de tableaux avec terrasse vitrée et proposant plats français raffinés de brasserie.,"205 Rue du Faubourg Saint-Honoré, 75008 Paris"
Citrus,"4,6",,Restaurant français,Restaurant de style rétro avec patio proposant une cuisine traditionnelle provençale et méditerranéenne.,"52 Rue de Miromesnil, 75008 Paris"
Lupo,"4,9",10–20 €,Restaurant italien,,"22 Rue Washington, 75008 Paris"
Le Mermoz,"4,5",,Bistro,,"16 Rue Jean Mermoz, 75008 Paris"
Le Chiberta,"4,3",+ de 100 €,Restaurant,"Menus de dégustation de plats français créatifs avec accords mets et vins, dans une salle élégante aux accents rouges audacieux.","3 Rue Arsène Houssaye, 75008 Paris"
Mieux,"4,7",,Restaurant,"Restaurant rustique-chic à l'ambiance détendue et à l'approvisionnement responsable, proposant des plats et des vins.","21 Rue Saint-Lazare, 75009 Paris"
Les Saisons,"4,7",€€,Restaurant français,"Restaurant cozy et lumineux proposant des plats classiques, de la viande et une vaste sélection de vins.","52 Rue Lamartine, 75009 Paris"
Poppy Paris,"4,6",20–30 €,Restaurant brunch,,"2 Rue Milton, 75009 Paris"
La Padellina,"4,8",20–30 €,Restaurant italien,,"1 Rue Chaptal, 75009 Paris"
Passionné,"4,7",+ de 100 €,Restaurant gastronomique,,"17 Rue Bergère, 75009 Paris"
Lou Cantou,"4,6",20–30 €,Restaurant français,Vins et spécialités françaises dans un bistrot pittoresque à l'ambiance rétro. Terrasse côté rue et approvisionnement responsable.,"35 Cité d'Antin, 75009 Paris"
Chez Yvette - Restaurant paris 9,"4,9",30–40 €,Restaurant,,"47 Av. Trudaine, 75009 Paris"
Chez Delphine,"4,7",30–40 €,Restaurant français,,"48 Rue Saint-Georges, 75009 Paris"
Le Bon Georges,"4,5",+ de 100 €,Restaurant,,"45 Rue Saint-Georges, 75009 Paris"
L'Eden - Restaurant Paris 9,"4,0",20–30 €,Brasserie,"Brasserie classique avec tables en bois et bar en zinc incurvé, proposant des plats français traditionnels.","43 Rue de la Chau. d'Antin, 75009 Paris"
Jeanne-Aimée,"4,8",,Restaurant,,"3 Rue Bourdaloue, 75009 Paris"
Le Comptoir Boutary,"4,8",,Restaurant français,,"32 Rue Catherine de la Rochefoucauld, 75009 Paris"
Caillebotte,"4,6",€€,Restaurant français,"Plats français classiques de brasserie à la présentation artistique, dans un cadre clair et contemporain.","8 Rue Hippolyte Lebas, 75009 Paris"
La Table des Anges,"4,5",40–50 €,Restaurant français,Cuisine française de brasserie à la présentation créative et vins régionaux servis dans un espace simple.,"66 R. des Martyrs, 75009 Paris"
Restaurant L'Évadé Bistronomie Paris 9,"4,8",,Restaurant,,"23 Rue Clauzel, 75009 Paris"
